id,capacity
v1,49,
v1,49,
v1,49,
v1,49,
v1,49,
v1,49,
v1,49,
v1,49,
v1,49,
v1,49,
v1,49,
v2,58,
v2,58,
v2,58,
v2,58,
v2,58,
v2,58,
v2,58,
v2,58,
v2,58,
v2,58,
v2,58,
v3,64,
v3,64,
v3,64,
v3,64,
v3,64,
v3,64,
v3,64,
v3,64,
v3,64,
v3,64,
v3,64,
v4,73,
v4,73,
v4,73,
v4,73,
v4,73,
v4,73,
v4,73,
v4,73,
v4,73,
v4,73,
v4,73,
v5,77,
v5,77,
v5,77,
v5,77,
v5,77,
v5,77,
v5,77,
v5,77,
v5,77,
v5,77,
v5,77,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v7,80,
v7,80,
v7,80,
v7,80,
v7,80,
v7,80,
v7,80,
v7,80,
