id,x_coord,y_coord,demand,start_time,end_time,service_time
0,10705,1778,37,22,55,3
1,7514,5682,1,40,72,3
2,19720,4791,10,17,43,3
3,18042,12727,14,38,69,3
4,12947,17004,17,96,122,3
5,6805,13177,48,69,98,3
6,1317,14341,12,33,62,3
7,4595,12754,14,58,85,3
8,19017,5707,4,29,64,3
9,6324,9845,34,43,70,3
10,7849,1930,42,50,81,3
11,6571,11880,7,58,80,3
12,2354,17430,1,53,80,3
13,2081,9276,15,89,109,3
14,13486,14911,1,41,72,3
15,5771,17147,5,84,107,3
16,1712,11173,31,74,106,3
17,5983,78,20,24,54,3
18,17346,16091,20,89,119,3
19,17784,14875,1,38,59,3
20,9902,12355,44,31,67,3
21,9358,285,7,44,71,3
22,16942,1284,18,99,129,3
23,11228,17680,35,30,58,3
24,16183,10985,1,62,89,3
25,11111,19572,1,41,67,3
26,9369,16634,3,77,111,3
27,12152,9963,31,63,98,3
28,14673,17341,14,62,92,3
29,15317,18926,44,16,42,3
30,214,513,3,11,44,3
31,2095,14481,2,11,38,3
32,6604,448,31,20,51,3
33,13107,15663,38,18,44,3
34,16267,675,50,51,79,3
35,10922,6177,53,51,78,3
36,2311,17476,17,19,43,3
37,701,9040,12,36,68,3
38,6070,17950,21,71,103,3
39,7519,8668,40,86,109,3
40,6398,9914,38,81,106,3
41,15964,11478,1,96,128,3
42,16069,9505,28,83,109,3
43,14087,13566,47,96,118,3
44,13118,18998,7,55,89,3
45,2024,1569,1,21,55,3
46,13362,15736,26,66,94,3
47,1767,9892,16,32,60,3
48,18117,17279,1,50,77,3
49,17448,9347,19,90,123,3
50,16786,18153,7,49,80,3
51,18561,10584,42,88,114,3
52,5087,16256,15,10,40,3
53,9137,15154,19,100,131,3
54,16292,15567,33,75,112,3
55,7543,8540,2,86,121,3
56,17542,11363,8,66,96,3
57,17773,12497,15,45,69,3
58,2867,12960,1,48,77,3
59,7016,16965,3,57,90,3
60,7219,2700,27,79,109,3
61,12933,19179,32,82,115,3
62,17369,14246,15,91,121,3
63,18051,13273,49,17,55,3
64,6552,4779,26,69,98,3
65,19889,19583,16,99,128,3
66,9985,11826,1,64,96,3
67,10863,10536,1,61,94,3
68,3642,9824,7,45,80,3
69,19609,12455,17,48,84,3
70,14221,742,19,40,59,3
71,4002,16990,10,39,69,3
72,19417,15060,1,55,92,3
73,13809,19297,1,75,101,3
74,9442,1682,25,11,39,3
75,896,860,8,94,128,3
76,5514,9197,30,38,72,3
77,8133,6485,36,37,66,3
78,16017,15718,26,96,118,3
79,14285,6256,21,15,44,3
80,4584,3160,1,21,51,3
81,13483,18843,36,41,69,3
82,11286,11641,33,10,47,3
83,952,4101,32,87,115,3
84,9304,16661,25,65,100,3
85,4495,4154,44,55,81,3
86,9385,15865,40,100,123,3
87,19726,10501,7,81,111,3
88,11901,11481,26,48,77,3
89,14523,12445,16,67,94,3
90,2338,10079,16,64,92,3
91,12414,10935,36,79,112,3
92,13735,13019,50,28,53,3
93,16643,4957,1,53,78,3
94,7277,4523,48,87,113,3
95,13716,19614,6,96,121,3
96,4657,18074,1,53,86,3
97,10793,17236,17,98,133,3
98,2821,7034,5,39,67,3
99,10274,16474,32,52,87,3
100,12480,14216,1,74,110,3
101,18637,9683,13,62,80,3
102,19947,18538,22,84,121,3
103,183,3426,32,62,98,3
104,18196,4100,50,32,63,3
105,16020,293,28,53,77,3
106,9704,83,25,66,100,3
107,15880,14741,33,38,71,3
108,11377,5188,23,73,98,3
109,4000,19844,27,19,52,3
110,9709,18922,10,65,97,3
111,7371,17258,14,88,113,3
112,11530,7948,20,65,94,3
113,2475,17159,5,94,131,3
114,12117,18778,1,13,40,3
115,14415,2832,11,25,60,3
116,5731,13815,16,12,49,3
117,17084,14108,38,30,57,3
118,16046,10308,1,78,112,3
119,18698,15152,6,63,100,3
120,1572,15240,32,76,106,3
121,15589,17212,1,23,42,3
122,7683,11941,40,13,42,3
123,19671,19298,8,13,46,3
124,17980,14249,1,62,95,3
125,18519,3717,32,65,91,3
126,18214,12802,10,38,65,3
127,8392,16967,27,87,113,3
128,5435,18554,36,85,126,3
129,14791,12935,20,23,55,3
130,18319,14297,9,53,80,3
131,18946,3724,27,95,123,3
132,19758,4014,62,84,123,3
133,10243,19837,9,87,111,3
134,16045,1884,5,51,87,3
135,8213,15174,15,91,125,3
136,4812,4600,14,89,116,3
137,10942,4694,15,64,95,3
138,8512,18096,33,45,81,3
139,12368,9377,22,95,125,3
140,17218,5906,26,30,61,3
141,2550,8543,22,34,66,3
142,3710,3266,5,85,114,3
143,733,10555,25,14,48,3
144,1347,15034,33,83,108,3
145,17810,13032,20,81,111,3
146,16209,3224,33,18,48,3
147,5468,12621,1,50,78,3
148,7688,18215,10,99,132,3
149,5602,1025,30,75,102,3
