
37.0,8.0,3.0,1.0,
41.0,13.0,1.0,2.0,
4.0,2.0,0.0,0.0,
5.0,0.0,0.0,0.0,
120.0,36.0,5.0,1.0,
122.0,23.0,3.0,5.0,
42.0,7.0,0.0,2.0,
41.0,7.0,0.0,0.0,
106.0,16.0,2.0,0.0,
143.0,21.0,4.0,3.0,
115.0,18.0,3.0,4.0,
126.0,13.0,2.0,2.0,
60.0,3.0,0.0,1.0,
59.0,4.0,0.0,0.0,
50.0,4.0,0.0,1.0,
141.0,21.0,1.0,3.0,
129.0,11.0,5.0,3.0,
133.0,24.0,2.0,2.0,
121.0,14.0,1.0,2.0,
130.0,18.0,0.0,2.0,
138.0,27.0,3.0,4.0,
123.0,22.0,4.0,3.0,
139.0,12.0,6.0,1.0,
142.0,20.0,2.0,4.0,
142.0,22.0,2.0,1.0,
223.0,55.0,4.0,10.0,
221.0,43.0,9.0,17.0,
236.0,37.0,4.0,8.0,
464.0,111.0,8.0,12.0,
585.0,84.0,29.0,29.0,
437.0,82.0,161.0,80.0,
21.0,2.0,7.0,4.0,
238.0,50.0,80.0,43.0,
24.0,3.0,16.0,2.0,
917.0,105.0,18.0,27.0,
468.0,52.0,4.0,17.0,
434.0,59.0,2.0,6.0,
57.0,17.0,6.0,3.0,
58.0,19.0,1.0,5.0,
53.0,12.0,4.0,1.0,
25.0,8.0,2.0,0.0,
255.0,69.0,12.0,12.0,
22.0,12.0,0.0,1.0,
