id,x_coord,y_coord,demand,start_time,end_time,service_time
0,4348,3281,16,20,47,3
1,4399,7887,27,10,37,3
2,4012,2182,38,57,91,3
3,5615,4573,22,20,49,3
4,9765,1974,29,21,48,3
5,4457,5877,15,17,44,3
6,6299,5487,29,13,44,3
7,5157,4108,6,28,64,3
8,1423,6941,1,26,59,3
9,2805,3626,58,22,51,3
10,7737,8032,38,38,72,3
11,528,4073,1,50,81,3
12,4812,3174,24,29,65,3
13,337,2490,23,57,82,3
14,2269,4789,28,11,34,3
15,1450,5695,1,36,60,3
16,6777,9062,3,22,54,3
17,8241,8098,15,38,82,3
18,4094,2307,11,41,71,3
19,2182,1636,48,43,72,3
20,7952,8465,51,51,78,3
21,1620,2227,1,10,44,3
22,5760,7962,1,33,62,3
23,2095,1488,31,35,59,3
24,9857,2044,7,56,81,3
25,6212,1206,25,15,39,3
26,375,9473,41,33,53,3
27,5909,8632,37,11,48,3
28,2079,8731,16,27,61,3
29,3746,3103,34,49,78,3
