id,x_coord,y_coord,demand,start_time,end_time,service_time
0,4432,6856,9,49,91,3
1,1901,12751,1,16,45,3
2,13243,7666,1,27,58,3
3,10512,13677,42,49,78,3
4,6758,11002,1,53,90,3
5,9799,4035,13,53,84,3
6,14494,5119,31,15,36,3
7,9351,2676,16,15,46,3
8,2170,8219,5,12,38,3
9,599,2680,11,38,62,3
10,14657,12431,1,49,73,3
11,8285,8731,48,52,84,3
12,749,9036,9,38,71,3
13,674,10814,15,24,55,3
14,13750,11676,34,36,65,3
15,3728,11631,3,27,58,3
16,9460,5904,40,32,56,3
17,5314,7775,7,45,76,3
18,12289,7128,30,31,63,3
19,90,4437,13,44,76,3
20,7339,14458,37,49,77,3
21,684,4396,25,15,52,3
22,1281,12893,47,55,88,3
23,13699,648,17,27,56,3
24,7875,2657,1,43,71,3
25,14445,4102,4,50,84,3
26,8271,3812,35,30,63,3
27,9017,12524,38,27,63,3
28,14402,8250,47,34,58,3
29,13571,11870,18,14,40,3
30,3767,675,15,38,73,3
31,4520,9048,1,10,36,3
32,13156,5816,17,30,63,3
33,952,842,14,45,70,3
34,4334,10735,18,37,71,3
35,1059,8521,1,14,40,3
36,4919,2004,70,22,53,3
37,16,9212,30,23,51,3
38,11883,12691,12,44,72,3
39,1445,10865,30,44,67,3
40,3646,5394,27,54,89,3
41,5292,6783,10,26,56,3
42,5202,7480,21,23,54,3
43,3678,106,18,47,78,3
44,1472,648,7,36,70,3
45,7139,4872,14,24,51,3
46,11550,13896,27,36,63,3
47,2651,14470,1,27,63,3
48,10761,7260,18,53,78,3
49,6517,7216,22,38,72,3
50,11828,13714,9,43,73,3
51,10000,1256,18,49,77,3
52,6825,3164,35,22,45,3
53,5063,13354,41,27,56,3
54,10382,7380,5,11,40,3
55,1450,14606,25,50,79,3
56,5554,14366,33,52,82,3
57,13336,2040,40,57,90,3
58,690,14982,1,43,72,3
59,8862,11939,10,56,82,3
60,12713,13287,23,36,67,3
61,9935,5969,13,54,88,3
62,5554,4079,16,35,67,3
63,11627,3849,23,17,45,3
64,2350,2102,13,15,47,3
65,12312,11046,32,45,74,3
66,12386,9075,8,39,66,3
67,10764,8204,33,10,48,3
68,965,7127,1,44,76,3
69,9791,11984,23,38,73,3
70,10137,2520,51,25,52,3
71,9014,8832,39,60,84,3
72,14055,7702,5,35,67,3
73,12652,4289,17,38,68,3
74,2207,12346,1,20,47,3
75,10663,1536,15,30,53,3
76,12736,14472,1,56,89,3
77,1885,14369,6,56,86,3
78,12781,14563,7,47,75,3
79,8939,7458,49,13,38,3
80,9953,14717,1,46,77,3
81,4343,7084,24,39,67,3
82,11398,3175,34,47,79,3
83,179,10055,1,46,74,3
84,12418,5055,51,40,70,3
85,2274,6296,17,48,78,3
86,3368,3148,38,39,67,3
87,12733,482,21,21,56,3
88,12244,13119,44,56,88,3
89,14134,4165,26,28,62,3
90,9735,763,9,49,83,3
91,12317,12127,1,53,93,3
92,13318,6996,29,53,82,3
93,12541,6852,36,54,80,3
94,6950,1250,47,22,48,3
95,5742,6184,38,42,77,3
96,1095,3457,1,21,56,3
97,13450,5584,12,44,63,3
98,2886,4597,21,10,39,3
99,4019,6179,22,41,71,3
100,13727,13167,43,26,53,3
101,2204,4993,1,11,38,3
102,9761,1572,2,15,44,3
103,6474,10044,23,50,73,3
104,12017,7581,27,40,72,3
105,3542,2243,35,16,46,3
106,8864,11891,1,19,44,3
107,9187,1488,23,40,76,3
108,10669,5635,1,26,63,3
109,12454,6758,16,39,68,3
110,593,8293,31,26,46,3
111,3091,2503,3,44,68,3
112,11471,2881,13,21,49,3
113,10476,1869,28,42,73,3
114,7730,7198,5,20,49,3
115,7498,6899,14,41,76,3
116,4240,9466,26,50,77,3
117,716,6078,1,29,51,3
118,11642,11831,16,20,48,3
119,9472,2692,36,53,88,3
