
38,1207940.0,3369,119.52875995635986,5844324.0,5007940.0,
40,1222804.0,3510,138.9935610294342,5844668.0,5222804.0,
40,1287652.0,3661,163.50983595848083,5727180.0,5287652.0,
39,1205764.0,3486,148.07740211486816,5598242.0,5105764.0,
39,1200604.0,3418,166.7650589942932,5717552.0,5100604.0,
39,1244692.0,3523,172.0970618724823,5632986.0,5144692.0,
41,1267866.0,3621,164.24458193778992,5974096.0,5367866.0,
39,1234960.0,3456,142.3979630470276,5723138.0,5134960.0,
41,1269796.0,3628,138.14715886116028,5874956.0,5369796.0,
38,1177766.0,3371,149.42792439460754,5754560.0,4977766.0,
39.4,1231984.4,3504.3,150.32,5769170.2,5171984.4,5598242.0,4977766.0,1.07,35372.17,
