id,x_coord,y_coord,demand,start_time,end_time,service_time
0,389,4866,24,52,80,3
1,5016,8576,2,41,78,3
2,8326,3250,27,32,59,3
3,3530,8487,29,39,73,3
4,2380,2349,31,49,80,3
5,2665,3766,29,41,70,3
6,8731,9947,22,34,67,3
7,9633,757,1,42,69,3
8,9362,9581,1,31,51,3
9,5698,9372,10,41,69,3
10,820,6473,15,20,52,3
11,7668,5732,18,43,83,3
12,6834,298,6,16,47,3
13,4011,7165,15,29,59,3
14,9818,4593,1,12,39,3
15,9549,4268,33,25,56,3
16,2085,4227,21,33,56,3
17,5969,4773,53,11,42,3
18,7012,1221,19,50,79,3
19,8829,4856,1,45,79,3
20,2720,8620,43,15,45,3
21,2668,4653,30,59,89,3
22,2536,1551,21,36,68,3
23,1655,1358,31,15,45,3
24,9003,1641,4,46,75,3
25,5361,8462,32,44,78,3
26,6081,4038,14,14,44,3
27,5343,3508,19,39,67,3
28,1923,1165,1,54,88,3
29,4334,86,32,34,64,3
30,1881,3149,34,15,40,3
31,5992,177,9,54,81,3
32,4383,1075,9,30,68,3
33,7260,2682,2,33,66,3
34,3751,5903,5,20,43,3
35,5290,4206,38,59,87,3
36,4073,916,1,20,49,3
37,8442,7261,13,56,90,3
38,7673,9639,15,17,44,3
39,3816,1333,1,50,76,3
40,7243,9769,40,24,50,3
41,6378,5281,4,21,48,3
42,4075,7774,20,29,49,3
43,2664,4433,29,46,78,3
44,4827,8188,1,34,65,3
45,2622,207,38,53,82,3
46,9911,8055,37,34,60,3
47,2486,835,35,57,91,3
48,3461,2506,23,41,66,3
49,4934,2474,29,24,54,3
50,548,8417,45,54,89,3
51,6615,2059,2,18,47,3
52,8156,3281,38,32,66,3
53,2129,6381,1,48,80,3
54,6254,3633,11,46,78,3
55,3408,5791,13,50,71,3
56,7317,7157,46,21,53,3
57,6774,1055,7,58,85,3
58,9568,5293,25,32,61,3
59,6126,8037,17,56,89,3
