id,x_coord,y_coord,demand,start_time,end_time,service_time
0,4456,1881,1,10,38,3
1,4728,2587,29,13,45,3
2,5788,189,31,41,64,3
3,2180,1853,33,51,84,3
4,1323,3191,26,38,67,3
5,4075,4238,12,27,47,3
6,1091,131,25,32,60,3
7,1772,3973,1,42,74,3
8,7105,1857,6,59,95,3
9,308,4764,11,11,39,3
10,7310,4225,7,53,87,3
11,6357,7477,21,13,40,3
12,722,6632,29,36,61,3
13,6022,267,22,20,50,3
14,4276,5834,10,39,62,3
15,129,6055,31,16,44,3
16,3925,1469,22,40,77,3
17,2422,1595,4,57,91,3
18,6165,866,25,15,44,3
19,3113,3451,6,41,67,3
20,7173,623,10,47,73,3
21,1117,4861,15,56,82,3
22,1463,3980,14,50,79,3
23,5141,223,18,57,98,3
24,4960,1941,9,40,73,3
25,7298,7003,51,50,81,3
26,1121,5337,21,31,63,3
27,5872,5723,14,49,73,3
28,2762,5769,1,50,82,3
29,2006,2632,34,17,45,3
30,7189,5689,36,26,54,3
31,4274,3333,31,49,80,3
32,6358,6476,11,27,61,3
33,4105,5930,30,24,56,3
34,3098,6983,8,18,47,3
35,195,5647,58,41,70,3
36,6890,2684,1,51,78,3
37,6693,2328,15,31,60,3
38,1998,7283,7,22,51,3
39,126,1596,16,55,81,3
40,6707,4236,14,52,80,3
41,1654,4829,11,30,53,3
42,7394,197,8,48,77,3
43,4287,614,43,55,79,3
44,4824,6980,31,36,64,3
45,2444,7107,32,48,73,3
46,5879,1335,3,53,77,3
47,7070,6123,33,60,89,3
48,6439,6702,1,48,70,3
49,4138,560,43,47,70,3
50,3848,6662,32,35,65,3
51,4596,4620,6,45,71,3
52,3959,544,1,41,74,3
53,7228,2056,1,40,76,3
54,5175,674,26,39,70,3
55,4331,3298,1,22,47,3
56,4269,1804,28,27,63,3
57,720,3635,23,30,62,3
58,4105,6382,12,35,67,3
59,6249,6322,1,54,81,3
