id,x_coord,y_coord,demand,start_time,end_time,service_time
0,1979,3477,34,59,87,3
1,2129,3636,9,70,100,3
2,2908,3493,52,59,83,3
3,4573,3476,1,62,92,3
4,1818,4680,7,73,101,3
5,4477,943,1,74,104,3
6,3792,2962,36,22,49,3
7,2134,2652,24,49,74,3
8,3517,4048,14,75,109,3
9,3336,465,27,55,90,3
10,4497,2274,2,20,54,3
11,142,842,6,39,63,3
12,3147,3503,28,77,100,3
13,504,1741,14,74,99,3
14,115,2156,8,67,96,3
15,3724,3795,33,16,45,3
16,2859,1968,4,21,54,3
17,984,2143,1,11,48,3
18,661,91,34,19,56,3
19,451,4382,15,50,81,3
20,2493,3002,1,46,72,3
21,1309,2630,22,24,47,3
22,3595,4909,10,24,47,3
23,1811,3388,24,40,69,3
24,3939,1641,21,56,85,3
25,4734,4292,2,30,56,3
26,2010,3939,7,55,86,3
27,308,3691,35,28,53,3
28,4151,4520,22,58,93,3
29,2235,2890,7,30,68,3
