id,x_coord,y_coord,demand,start_time,end_time,service_time
0,4110,6606,3,14,46,3
1,2607,2154,31,23,51,3
2,2203,2362,1,50,81,3
3,1511,3869,22,42,74,3
4,4947,2989,21,42,70,3
5,6471,115,47,36,65,3
6,1611,4129,15,56,76,3
7,241,5127,18,31,61,3
8,1736,1623,17,28,53,3
9,1989,3166,53,57,90,3
10,2650,5836,12,58,89,3
11,6400,1579,31,13,37,3
12,5649,4607,13,11,45,3
13,4948,6473,29,27,54,3
14,4055,5347,12,25,54,3
15,1478,1586,1,60,99,3
16,6105,4828,9,20,43,3
17,212,702,44,26,47,3
18,3984,5262,5,37,59,3
19,1269,3177,24,48,78,3
20,2192,2577,18,19,52,3
21,7494,681,51,16,48,3
22,4200,7079,18,19,52,3
23,861,3488,32,45,80,3
24,3217,6661,20,42,76,3
25,3239,5367,6,50,85,3
26,5876,5386,21,26,52,3
27,338,6677,14,48,79,3
28,5005,4365,17,19,52,3
29,5651,1706,16,30,68,3
