id,x_coord,y_coord,demand,start_time,end_time,service_time
0,5431,6732,39,40,69,3
1,4736,1046,10,23,49,3
2,830,517,4,56,79,3
3,3334,7358,20,46,77,3
4,6031,2074,7,56,85,3
5,5186,4826,2,15,44,3
6,2706,4904,13,33,56,3
7,593,7358,22,39,67,3
8,5750,3303,22,52,85,3
9,5514,6797,11,57,91,3
10,4846,2255,7,19,48,3
11,2860,1275,53,38,64,3
12,6328,3028,21,53,78,3
13,7429,2983,14,19,43,3
14,6370,3091,20,44,69,3
15,5918,869,22,11,42,3
16,3764,2078,40,49,79,3
17,3912,3550,19,30,62,3
18,1924,322,17,22,55,3
19,3912,2490,1,40,73,3
20,4211,1025,4,44,67,3
21,891,878,21,49,83,3
22,6494,7032,1,36,59,3
23,7445,703,31,52,92,3
24,4988,642,3,48,81,3
25,3635,1485,26,11,37,3
26,4182,162,29,33,60,3
27,5640,952,27,15,46,3
28,259,5281,57,58,87,3
29,2014,6231,9,54,82,3
30,1387,5718,19,52,79,3
31,4704,4415,34,24,53,3
32,2062,173,25,32,58,3
33,6864,4978,21,30,60,3
34,4090,4520,13,58,89,3
35,7491,2643,64,13,51,3
36,777,71,10,19,53,3
37,5418,793,36,53,83,3
38,3959,1639,36,11,40,3
39,1344,673,20,42,73,3
40,1844,5093,18,59,90,3
41,4917,178,28,16,46,3
42,6108,375,31,54,76,3
43,4038,842,25,50,74,3
44,4856,123,13,26,52,3
45,2476,7154,11,11,38,3
46,1473,6969,1,12,43,3
47,2496,2949,30,18,54,3
48,7115,2365,1,10,39,3
49,5100,2018,39,52,74,3
50,7320,2726,14,23,42,3
51,826,4414,42,38,65,3
52,6704,5057,27,36,59,3
53,5174,6158,28,54,86,3
54,6580,235,24,51,80,3
55,6915,4632,40,45,73,3
56,4973,163,1,59,92,3
57,3242,4310,10,27,52,3
58,4503,2620,1,25,59,3
59,4904,6701,21,54,79,3
60,4455,1055,30,35,67,3
61,269,3278,12,45,70,3
62,1258,4649,1,17,52,3
63,3758,560,16,28,54,3
64,415,2943,35,10,44,3
65,2417,1083,21,31,62,3
66,1449,6999,48,36,65,3
67,2653,5798,17,33,66,3
68,7030,6687,49,23,52,3
69,3690,6246,35,33,63,3
70,6180,3284,28,20,51,3
71,4105,5144,12,41,70,3
72,6438,7249,17,19,46,3
73,310,360,18,26,58,3
74,3108,3254,41,58,87,3
75,2018,4929,18,10,34,3
76,1000,982,24,42,72,3
77,161,1264,32,17,43,3
78,4802,4090,14,58,90,3
79,6370,5211,21,24,58,3
80,2088,5987,16,34,63,3
81,854,4048,49,23,60,3
82,3861,4930,48,41,60,3
83,6341,7069,20,10,42,3
84,7155,2553,19,49,76,3
85,3543,5764,36,10,40,3
86,3487,3565,25,11,34,3
87,1305,1643,21,13,40,3
88,716,511,1,42,77,3
89,3106,5300,18,32,56,3
