id,capacity
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v1,57,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v2,65,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v3,69,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v4,76,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v5,78,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
