id,x_coord,y_coord,demand,start_time,end_time,service_time
0,283,9415,1,72,100,3
1,16111,6178,4,74,103,3
2,10378,8981,1,91,119,3
3,2327,18003,34,66,101,3
4,11251,10970,10,32,59,3
5,2845,1814,2,18,46,3
6,1993,17119,25,17,45,3
7,4173,12950,21,100,128,3
8,6866,16138,34,13,42,3
9,18200,3849,8,78,104,3
10,646,17002,1,82,111,3
11,15618,15009,1,34,57,3
12,10640,10899,28,78,113,3
13,8413,16306,47,35,67,3
14,425,16036,18,78,105,3
15,3285,3403,43,20,51,3
16,7195,17921,5,67,100,3
17,13297,9530,23,43,74,3
18,4381,10505,43,90,127,3
19,14095,16211,8,25,56,3
20,2639,780,20,24,54,3
21,9692,19713,17,85,112,3
22,16980,4147,16,34,60,3
23,5005,9251,22,45,71,3
24,4098,4785,10,81,111,3
25,3526,9234,26,86,120,3
26,9746,15691,1,23,53,3
27,9793,8949,1,31,63,3
28,9350,16219,26,27,54,3
29,19989,11314,19,10,48,3
30,19534,17845,32,77,106,3
31,2778,13373,46,46,73,3
32,19170,11940,22,89,116,3
33,10929,5321,12,31,57,3
34,8707,2494,11,65,91,3
35,12600,12240,26,42,70,3
36,2149,17226,19,49,82,3
37,14988,4865,31,17,44,3
38,3815,2945,34,21,51,3
39,12262,13733,18,40,64,3
40,416,3256,1,25,54,3
41,13426,15424,40,66,90,3
42,5909,7859,1,19,45,3
43,3400,3430,1,68,90,3
44,6513,9687,1,35,62,3
45,12729,13283,39,83,117,3
46,11138,5336,53,26,48,3
47,16759,1532,63,10,37,3
48,6022,12423,16,77,111,3
49,11828,4463,6,92,122,3
50,8357,6122,1,86,112,3
51,11267,2711,35,83,118,3
52,14566,17097,27,11,40,3
53,19080,10139,19,92,124,3
54,10942,3980,34,94,121,3
55,10595,12700,22,46,80,3
56,5970,1496,30,91,124,3
57,16714,7235,1,32,62,3
58,542,9417,8,35,63,3
59,15752,18780,23,55,79,3
60,632,12624,9,92,120,3
61,15545,10820,1,25,59,3
62,5467,11024,19,67,97,3
63,8589,13596,36,19,48,3
64,2414,3826,4,67,97,3
65,9031,8308,1,84,116,3
66,17973,2969,14,65,95,3
67,8434,11641,9,31,53,3
68,10569,3250,6,95,121,3
69,554,9797,26,69,102,3
70,6352,6761,25,86,115,3
71,15131,12861,1,35,62,3
72,1670,17697,7,25,50,3
73,2821,8491,8,13,42,3
74,10608,2263,24,13,47,3
75,1019,4943,21,78,109,3
76,19297,16211,39,86,111,3
77,18186,5504,1,98,126,3
78,1667,2513,23,99,136,3
79,10143,11843,1,71,96,3
80,4210,10063,1,92,115,3
81,4277,9255,16,54,80,3
82,6172,16516,28,47,87,3
83,13249,13159,4,27,62,3
84,13982,11288,1,82,110,3
85,14299,11737,25,23,49,3
86,19832,11169,12,97,128,3
87,18906,14959,14,70,91,3
88,10193,14578,43,51,85,3
89,12520,8947,7,99,126,3
90,8296,12599,1,65,93,3
91,13876,1270,28,16,44,3
