id,capacity
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v1,50,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v2,53,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v3,54,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v4,63,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v5,75,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v6,80,
v7,80,
